id,created_at,favorites,retweets,retweeted,source,text
857884403812491264,2017-04-28 09:09:15,0,47,False,Twitter for Android,RT @AJEnglish: Pope set to visit Egypt in 'call for peace' following bombings that killed dozens of Egyptian Copts on Palm Sunday https://t…
857884385781182464,2017-04-28 09:09:10,0,58,False,Twitter for Android,"RT @AJEnglish: Ethiopia currently houses around 165,000 Eritrean refugees and asylum seekers https://t.co/4J0Xa4P4sg https://t.co/Y2A3nwGly6"
857884225827164160,2017-04-28 09:08:32,0,28,False,Twitter for Android,RT @AJEnglish: Is Bangladesh's water crisis now a gender issue? https://t.co/tPVRv7qDOJ https://t.co/dEpkkWcSCj
857884203509264384,2017-04-28 09:08:27,0,219,False,Twitter for Android,"RT @AJEnglish: Palestinians take on #SaltWaterChallenge to draw attention to plight of more than 1,500 prisoners on hunger strike https://t…"
857884180201558017,2017-04-28 09:08:21,0,287,False,Twitter for Android,RT @AJEnglish: These models haven't let their disabilities stop them from strutting their stuff on the catwalk in Ethiopia. https://t.co/Yy…
857884064040316928,2017-04-28 09:07:54,0,343,False,Twitter for Android,RT @AJEnglish: Palestinian singer @MohammedAssaf89 takes on the #SaltWaterChallenge in solidarity with Palestinian prisoners https://t.co/j…
857883858125148161,2017-04-28 09:07:05,0,107,False,Twitter for Android,RT @AJEnglish: Seoul rejects Donald Trump's demand that it should pay for a $1bn missile defence system https://t.co/nicajZhVSD https://t.c…
857883797748166656,2017-04-28 09:06:50,0,95,False,Twitter for Android,RT @AJEnglish: Social Democratic Leader Zoran Zaev injured as protesters storm Macedonia parliament https://t.co/2SLiKgruCX https://t.co/Rg…
857883698016002048,2017-04-28 09:06:26,0,44,False,Twitter for Android,RT @ahencyclopedia: Today in #history: Emperor Arcadius marries Aelia Eudoxia. She becomes one of the more powerful Roman empresses of Late…
857883581322072064,2017-04-28 09:05:59,0,40,False,Twitter for Android,"RT @ahencyclopedia: Read more: https://t.co/KrCW5kvHjJ 

#Maya #History https://t.co/Vhcgk1x5pU"
857883366254936064,2017-04-28 09:05:07,0,4,False,Twitter for Android,RT @rusisworld: #VeniaminPopov: Journalists need to mount counter-propaganda efforts to tackle extremism https://t.co/ByucxYCi2R | #Against…
857883250571849728,2017-04-28 09:04:40,0,12,False,Twitter for Android,RT @rusisworld: #Bogdanov: Journalists from Muslim countries are in the vanguard of the fight against the spread of radical ideas | #Agains…
857883226110603264,2017-04-28 09:04:34,0,34,False,Twitter for Android,"RT @rusisworld: Russian Deputy FM #Bogdanov addressed the International Forum ""Journalists from Muslim Countries Against Extremism"" https:/…"
857883107298594816,2017-04-28 09:04:06,0,23,False,Twitter for Android,"RT @rusisworld: &gt;@rusisworld Group’s Coordinator #VeniaminPopov opened the 3rd International Forum ""Journalists from Muslim Countries #Agai…"
857882926222069760,2017-04-28 09:03:22,0,32,False,Twitter for Android,"RT @rusisworld: ""Journalists from Muslim Countries Against Extremism"" Forum kicks off in Moscow | @mfa_russia @MFA_KZ @KSAMOFA @MOFAKuwait…"
